,practice,bnf_code,bnf_name,items,nic,act_cost,quantity,month,year
404,845,8687,1263,5,49.91,46.86,3962,5,2016
406,2399,8687,1263,9,78.82,74.5,6255,5,2016
407,3852,8687,1263,5,19.92,18.86,1582,5,2016
408,9661,8687,1263,1,1.76,1.75,140,5,2016
409,1100,8687,1263,6,10.65,10.59,845,5,2016
411,652,8687,1263,64,386.2,367.44,29865,5,2016
412,1845,8687,1263,17,123.64,116.7,9812,5,2016
413,3452,8687,1263,24,137.49,130.15,10246,5,2016
414,6787,8687,1263,3,6.34,6.24,504,5,2016
415,2068,8687,1263,3,7.95,7.73,630,5,2016
416,2682,8687,1263,11,99.8,93.62,7920,5,2016
417,2991,8687,1263,2,14.82,13.97,1176,5,2016
418,305,8687,1263,7,109.12,102.21,8660,5,2016
419,1537,8687,1263,7,44.56,41.88,3536,5,2016
420,8791,8687,1263,19,105.46,100.21,7457,5,2016
421,253,8687,1263,8,36.47,34.58,2081,5,2016
422,3249,8687,1263,13,107.02,100.92,7584,5,2016
423,6072,8687,1263,9,52.98,50.51,4204,5,2016
424,5561,8687,1263,5,13.25,12.82,1050,5,2016
425,8843,8687,1263,5,47.12,44.45,3740,5,2016
426,6123,8687,1263,6,44.8,42.0,3556,5,2016
427,1659,8687,1263,2,16.23,15.27,1288,5,2016
428,10606,8687,1263,5,23.65,22.5,1876,5,2016
429,1803,8687,1263,16,114.39,107.81,8882,5,2016
430,6566,8687,1263,9,72.37,68.2,5742,5,2016
431,4285,8687,1263,5,36.58,34.27,2904,5,2016
432,4521,8687,1263,2,8.46,8.08,672,5,2016
434,5868,8687,1263,8,38.44,36.74,3052,5,2016
435,638,8687,1263,9,45.24,43.31,3540,5,2016
438,8465,8687,1263,1,6.3,5.84,500,5,2016
439,6995,8687,1263,1,8.38,7.77,600,5,2016
440,6961,8687,1263,2,4.24,4.15,336,5,2016
441,1593,8687,1263,2,21.92,20.51,1740,5,2016
442,340,8687,1263,2,12.6,11.69,1000,5,2016
443,9364,8687,1263,4,14.12,13.52,1120,5,2016
444,2928,8687,1263,1,1.26,1.18,100,5,2016
445,4087,8687,1263,1,2.12,2.07,168,5,2016
449,4213,8687,1263,9,46.61,44.22,3698,5,2016
450,5243,8687,1263,29,78.46,76.02,5788,5,2016
451,10079,8687,1263,8,12.54,12.48,930,5,2016
456,500,8687,1263,42,311.99,295.46,23480,5,2016
457,4411,8687,1263,11,54.86,52.64,4160,5,2016
458,4407,8687,1263,51,221.76,212.47,16277,5,2016
459,1053,8687,1263,19,138.29,130.72,10324,5,2016
460,9479,8687,1263,2,28.22,26.6,2240,5,2016
461,5098,8687,1263,7,54.63,51.29,4336,5,2016
462,3799,8687,1263,22,179.07,169.07,13856,5,2016
463,3526,8687,1263,9,11.69,11.83,930,5,2016
465,1343,8687,1263,1,17.64,16.45,1400,5,2016
466,1147,8687,1263,2,2.63,2.73,154,5,2016
467,4225,8687,1263,34,240.39,226.95,18623,5,2016
468,3634,8687,1263,9,88.46,83.37,6890,5,2016
469,1314,8687,1263,9,63.94,60.58,5074,5,2016
470,7174,8687,1263,4,48.95,46.14,3885,5,2016
471,4524,8687,1263,1,7.32,6.89,581,5,2016
472,4413,8687,1263,20,195.29,183.76,14815,5,2016
473,8149,8687,1263,21,174.43,164.76,13193,5,2016
474,590,8687,1263,6,48.58,46.08,3855,5,2016
475,4356,8687,1263,15,91.88,87.21,7290,5,2016
476,9778,8687,1263,16,93.6,89.17,7391,5,2016
477,2541,8687,1263,9,52.4,49.68,4158,5,2016
478,1387,8687,1263,2,13.4,12.65,1064,5,2016
479,10193,8687,1263,25,141.73,135.18,11221,5,2016
480,4947,8687,1263,1,0.26,0.35,21,5,2016
481,8103,8687,1263,2,25.2,23.34,2000,5,2016
482,2358,8687,1263,1,1.89,1.77,150,5,2016
483,2289,8687,1263,4,17.35,16.54,1377,5,2016
484,7689,8687,1263,2,8.46,8.06,672,5,2016
485,8892,8687,1263,13,60.04,57.03,4602,5,2016
486,10591,8687,1263,13,180.2,169.15,11925,5,2016
487,8485,8687,1263,3,41.32,38.96,3280,5,2016
488,4311,8687,1263,2,28.22,26.37,2240,5,2016
489,1887,8687,1263,2,20.28,19.07,1610,5,2016
490,10335,8687,1263,20,133.13,126.33,9968,5,2016
491,5598,8687,1263,11,123.34,115.89,9788,5,2016
492,6914,8687,1263,2,42.34,39.41,3360,5,2016
494,1648,8687,1263,32,142.28,136.9,11292,5,2016
495,2485,8687,1263,5,53.8,50.48,4270,5,2016
496,525,8687,1263,12,89.88,84.87,7134,5,2016
497,568,8687,1263,25,185.28,174.19,14705,5,2016
498,1290,8687,1263,40,266.86,251.31,20224,5,2016
499,5081,8687,1263,27,265.33,248.18,19331,5,2016
500,4760,8687,1263,3,34.84,32.76,2310,5,2016
502,7323,8687,1263,13,106.95,100.77,8035,5,2016
503,7978,8687,1263,4,19.06,18.18,1512,5,2016
504,5948,8687,1263,12,86.69,81.68,6880,5,2016
505,5289,8687,1263,6,49.31,46.39,3913,5,2016
506,6009,8687,1263,6,66.32,62.2,4840,5,2016
507,8980,8687,1263,14,122.97,115.84,9759,5,2016
508,6700,8687,1263,10,81.34,76.71,6456,5,2016
509,1012,8687,1263,45,260.66,248.45,19321,5,2016
510,857,8687,1263,19,81.91,78.84,6502,5,2016
511,936,8687,1263,31,248.21,235.29,19132,5,2016
512,1499,8687,1263,34,154.78,148.68,12287,5,2016
513,2222,8687,1263,60,232.95,223.59,18486,5,2016
514,3402,8687,1263,2,2.72,2.77,216,5,2016
515,5110,8687,1263,2,4.06,4.03,322,5,2016
518,5237,8687,1263,28,98.57,94.52,6715,5,2016
524,6545,8687,1263,2,17.64,16.38,1400,5,2016
525,1763,8687,1263,5,19.86,18.63,1576,5,2016
526,8325,8687,1263,4,24.86,23.46,1974,5,2016
527,6017,8687,1263,2,14.82,14.02,1176,5,2016
528,2806,8687,1263,3,3.18,3.28,252,5,2016
529,3182,8687,1263,1,5.09,4.71,616,5,2016
530,1699,8687,1263,3,30.46,28.53,2520,5,2016
531,9186,8687,1263,4,36.79,34.92,2920,5,2016
532,8515,8687,1263,20,82.46,77.46,6545,5,2016
533,3523,8687,1263,15,129.41,121.15,10270,5,2016
534,7,8687,1263,8,60.91,57.25,4378,5,2016
535,4337,8687,1263,4,31.76,29.84,2520,5,2016
536,5521,8687,1263,5,6.6,6.67,525,5,2016
537,3922,8687,1263,2,6.24,6.05,495,5,2016
538,625,8687,1263,3,56.03,52.11,3080,5,2016
539,8376,8687,1263,7,31.07,30.01,2425,5,2016
540,6244,8687,1263,6,23.86,22.83,1894,5,2016
541,8165,8687,1263,36,320.06,300.81,24261,5,2016
542,4070,8687,1263,4,15.0,13.88,800,5,2016
543,154,8687,1263,8,34.6,32.95,2747,5,2016
544,5329,8687,1263,10,67.14,63.46,4690,5,2016
545,7208,8687,1263,24,150.66,142.23,11955,5,2016
546,10270,8687,1263,28,147.82,140.34,11669,5,2016
547,4809,8687,1263,8,63.91,59.87,4353,5,2016
